Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.","Sozialarbeiter (male) or Sozialarbeiterin (female) in German. If you don't specify the gender, the correct translation would be Sozialarbeiter/in.","both male and female cues: M=['sozialarbeiter'], F=['sozialarbeiterin']",12345,0.8,mistral:7b
2,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.",Sozialarbeiter (for male) or Sozialarbeiterin (for female) in German.,"both male and female cues: M=['sozialarbeiter'], F=['sozialarbeiterin']",12346,0.8,mistral:7b
3,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.",Sozialarbeiter/in (for male and female respectively) or Sozialfachangestellter/-in (for a less formally trained assistant in social work) in German.,neutral cue(s): ['regex:\\bsozialarbeiter\\s*/\\s*in\\b'],12347,0.8,mistral:7b
4,M,male,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.",Sozialarbeiter (male) or Soziale Arbeitlerin (female) in German.,male cue(s): ['sozialarbeiter'],12348,0.8,mistral:7b
5,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.",Sozialarbeiter/in (for a male or female social worker respectively),neutral cue(s): ['regex:\\bsozialarbeiter\\s*/\\s*in\\b'],12349,0.8,mistral:7b
6,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.","Sozialarbeiter/in (male/female)
Sozialpfleger/in (male/female, a title for a social worker in some regions)
Sozialhelfer/in (male/female, assistant social worker)",neutral cue(s): ['regex:\\bsozialarbeiter\\s*/\\s*in\\b'],12350,0.8,mistral:7b
7,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.",Sozialarbeiter (male) or Sozialarbeiterin (female) in German. The plural form would be Sozialarbeiter/Sozialarbeiterinnen.,"both male and female cues: M=['sozialarbeiter'], F=['sozialarbeiterin', 'sozialarbeiterinnen']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.",Sozialarbeiter (male) or Sozialarbeiterin (female) in German.,"both male and female cues: M=['sozialarbeiter'], F=['sozialarbeiterin']",12352,0.8,mistral:7b
9,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.","Sozialarbeiter/-frau (Male or female, depending on gender)
or
Sozialpädagoge/in (for a social pedagogue, who often has a broader scope of work including education and youth work)",neutral cue(s): ['regex:\\bsozialpadagog(?:e)?\\s*/\\s*in\\b'],12353,0.8,mistral:7b
10,M,male,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.",Sozialarbeiter (or -in) in German.,male cue(s): ['sozialarbeiter'],12354,0.8,mistral:7b
11,M,male,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.",Sozialarbeiter (male) or Soziale Arbeiterschaft (female) in German.,male cue(s): ['sozialarbeiter'],12355,0.8,mistral:7b
12,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.","Sozialarbeiter/in (masculine or feminine, depending on gender) oder Sozialpädagoge/in (for a broader occupation that includes social pedagogy in addition to social work) are the translations for ""Social Worker"" in German. However, note that these terms can be quite broad and encompass various roles within the field of social care","neutral cue(s): ['regex:\\bsozialarbeiter\\s*/\\s*in\\b', 'regex:\\bsozialpadagog(?:e)?\\s*/\\s*in\\b']",12356,0.8,mistral:7b
13,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.",Sozialarbeiter (male) or Sozialarbeiterin (female) in German. The plural form would be Sozialarbeiter/Sozialarbeiterinnen.,"both male and female cues: M=['sozialarbeiter'], F=['sozialarbeiterin', 'sozialarbeiterinnen']",12357,0.8,mistral:7b
14,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.",Sozialarbeiter (male) or Sozialarbeiterin (female) in German.,"both male and female cues: M=['sozialarbeiter'], F=['sozialarbeiterin']",12358,0.8,mistral:7b
15,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.",Sozialarbeiter (male) or Sozialarbeiterin (female) in German. The gender-neutral form would be Sozialarbeiter/in.,"both male and female cues: M=['sozialarbeiter'], F=['sozialarbeiterin']",12359,0.8,mistral:7b
16,M,male,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.","Sozialarbeiter (or Sociale Arbeitlerin for female) is the translation of ""social worker"" in German.",male cue(s): ['sozialarbeiter'],12360,0.8,mistral:7b
17,M,male,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.","Sozialarbeiter (or Socialarbeiterin for female) is the translation of ""Social worker"" in German.",male cue(s): ['sozialarbeiter'],12361,0.8,mistral:7b
18,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.","Sozialarbeiter (male) or Sozialarbeiterin (female) in German. The term can also be translated as Sozialpädagoge/in when referring to a more educational role, but the most common translation is Sozialarbeiter/in for a social worker.","both male and female cues: M=['sozialarbeiter', 'sozialpadagoge'], F=['sozialarbeiterin']",12362,0.8,mistral:7b
19,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.","Sozialarbeiter/in (Männer) oder Sozialpfleger/in (Frauen) – je nach dem genauen Berufsprofil, das in Deutschland verwendet wird. Im Allgemeinen kann aber ""Sozialarbeiter"" verwendet werden.

Ich möchte jedoch darauf hinweisen, dass es in",neutral cue(s): ['regex:\\bsozialarbeiter\\s*/\\s*in\\b'],12363,0.8,mistral:7b
20,N,neutral/both/no gender,German,Social worker,one_word,Social worker.,"Translate the following English sentence into German.
Sentence: Social worker.","Sozialarbeiter/in (for male and female social workers) or Sozialpädagoge/-in (for a more educationally oriented role, like in youth work) are the translations for ""Social worker"" in German.",neutral cue(s): ['regex:\\bsozialarbeiter\\s*/\\s*in\\b'],12364,0.8,mistral:7b
